timestamp,dma_id,dma_name,sensor_id,pressure_mca,flow_lps,source,quality_flag
2026-07-16T14:04:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,54.23155990808952,22.604064995941144,simulation,GOOD
2026-07-16T14:09:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,54.45019156267901,22.299069983433306,simulation,GOOD
2026-07-16T14:14:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,54.28560492164879,22.297039688518808,simulation,GOOD
2026-07-16T14:19:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,54.27091408736685,21.622733611368442,simulation,GOOD
2026-07-16T14:24:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,54.7593269962492,21.489938543380795,simulation,GOOD
2026-07-16T14:29:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,54.85037440303214,21.414549523313088,simulation,GOOD
2026-07-16T14:34:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,54.46432264185348,21.352065003600703,simulation,GOOD
2026-07-16T14:39:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,54.80590262508073,21.14859192501884,simulation,GOOD
2026-07-16T14:44:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,54.79183826805617,20.79598233050664,simulation,GOOD
2026-07-16T14:49:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,54.831378575385706,20.627962493446777,simulation,GOOD
2026-07-16T14:54:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,54.89485194420905,20.241522952762054,simulation,GOOD
2026-07-16T14:59:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,54.94597721527086,20.595144464210733,simulation,GOOD
2026-07-16T15:04:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,55.53878088769614,20.36800077518199,simulation,GOOD
2026-07-16T15:09:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,55.33407671992941,19.922595779000503,simulation,GOOD
2026-07-16T15:14:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,55.55374131208528,19.901839904762216,simulation,GOOD
2026-07-16T15:19:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,55.31305665351658,19.462257036953496,simulation,GOOD
2026-07-16T15:24:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,55.554054658433245,18.971744130089423,simulation,GOOD
2026-07-16T15:29:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,55.790839530852274,19.30954598344335,simulation,GOOD
2026-07-16T15:34:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,55.692736449078744,18.943278312174527,simulation,GOOD
2026-07-16T15:39:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,43.771660741302654,9.73522832272847,simulation,BAD
2026-07-16T15:44:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,56.5046844985403,18.538512167687934,simulation,GOOD
2026-07-16T15:49:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,56.15566147486707,18.0790224707421,simulation,GOOD
2026-07-16T15:54:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,56.20646892094295,18.16241029119513,simulation,GOOD
2026-07-16T15:59:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,56.6040756657713,18.09280398746393,simulation,GOOD
2026-07-16T16:04:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,56.47240895632363,17.45578552610571,simulation,GOOD
2026-07-16T16:09:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,56.545389753089935,17.464018821182187,simulation,GOOD
2026-07-16T16:14:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,56.95445656107286,17.459189928921916,simulation,GOOD
2026-07-16T16:19:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-F,57.143891247607826,16.90653837907222,simulation,GOOD
2026-07-16T16:24:07.786135-05:00,DMA-MO-01,Moche 01,SENS-MO-01-P,57.11596838032361,16.76271951796961,simulation,GOOD
